Product Name,Official Price,Weight/Unit,Offer Price,Currency,Date,From
Large tomato,,kilo or count,37,SAR,2024-08-18,https://aloqailat.com
Small tomato,,kilo or count,13,SAR,2024-08-18,https://aloqailat.com
Small option,,kilo or count,10,SAR,2024-08-18,https://aloqailat.com
A big choice,,kilo or count,29,SAR,2024-08-18,https://aloqailat.com
Big zucchini,,kilo or count,28,SAR,2024-08-18,https://aloqailat.com
Zucchini,,kilo or count,9,SAR,2024-08-18,https://aloqailat.com
Great cold colored pepper,,kilo or count,48,SAR,2024-08-18,https://aloqailat.com
Small colored cold pepper,,kilo or count,17,SAR,2024-08-18,https://aloqailat.com
Big American lottery,,kilo or count,30,SAR,2024-08-18,https://aloqailat.com
Small American pumpkin,,kilo or count,7,SAR,2024-08-18,https://aloqailat.com
Black black eggplant,,kilo or count,17,SAR,2024-08-18,https://aloqailat.com
Small black eggplant,,kilo or count,6.50,SAR,2024-08-18,https://aloqailat.com
Green cold green pepper,,kilo or count,26.50,SAR,2024-08-18,https://aloqailat.com
Small green cold pepper,,kilo or count,9,SAR,2024-08-18,https://aloqailat.com
Najd pumpkin,,kilo or count,26,SAR,2024-08-18,https://aloqailat.com
Najd pumpkin small,,kilo or count,10,SAR,2024-08-18,https://aloqailat.com
Large beans,,kilo or count,63,SAR,2024-08-18,https://aloqailat.com
Small beans,,kilo or count,17.50,SAR,2024-08-18,https://aloqailat.com
Small ketchup,,kilo or count,12,SAR,2024-08-18,https://aloqailat.com
Great ketchup,,kilo or count,44,SAR,2024-08-18,https://aloqailat.com
Pamia middle,,kilo or count,30,SAR,2024-08-18,https://aloqailat.com
Small islands Australian,,kilo or count,10,SAR,2024-08-18,https://aloqailat.com
Small Indian hot pepper,,kilo or count,8,SAR,2024-08-18,https://aloqailat.com
flower,,kilo or count,10,SAR,2024-08-18,https://aloqailat.com
Ginger Sagbar,,kilo or count,10,SAR,2024-08-18,https://aloqailat.com
Blonde,,kilo or count,15,SAR,2024-08-18,https://aloqailat.com
A ready -made deed,,kilo or count,7,SAR,2024-08-18,https://aloqailat.com
Lemon,,kilo or count,4.74,SAR,2024-08-18,https://aloqailat.com
Chopped tomato,,kilo or count,4,SAR,2024-08-18,https://aloqailat.com
Chopped onion,,kilo or count,3.50,SAR,2024-08-18,https://aloqailat.com
Cold pepper colored chopped,,kilo or count,14.50,SAR,2024-08-18,https://aloqailat.com
A trend ready for cooking with olive oil,,kilo or count,6.80,SAR,2024-08-18,https://aloqailat.com
Pumpkin cut boxes,,kilo or count,4.60,SAR,2024-08-18,https://aloqailat.com
Sliced ​​garlic,,kilo or count,2,SAR,2024-08-18,https://aloqailat.com
Chopped carrot,,kilo or count,5.75,SAR,2024-08-18,https://aloqailat.com
Ketchup,,kilo or count,3.92,SAR,2024-08-18,https://aloqailat.com
Blonde,,kilo or count,3.92,SAR,2024-08-18,https://aloqailat.com
Ginger,,kilo or count,2,SAR,2024-08-18,https://aloqailat.com
Chopped vegetable vegetables,,kilo or count,15.50,SAR,2024-08-18,https://aloqailat.com
Sliced,,kilo or count,4.60,SAR,2024-08-18,https://aloqailat.com
A problem of vegetables problem,,kilo or count,14,SAR,2024-08-18,https://aloqailat.com
Molochy cabbage is a bag,,kilo or count,17,SAR,2024-08-18,https://aloqailat.com
Egyptian lettuce,,kilo or count,9.80,SAR,2024-08-18,https://aloqailat.com
cabbage,,kilo or count,11.50,SAR,2024-08-18,https://aloqailat.com
Green onion in connection,,kilo or count,3.74,SAR,2024-08-18,https://aloqailat.com
Bonding,,kilo or count,1.73,SAR,2024-08-18,https://aloqailat.com
Kazbra link,,kilo or count,1.73,SAR,2024-08-18,https://aloqailat.com
Tied,,kilo or count,1.73,SAR,2024-08-18,https://aloqailat.com
Parsley,,kilo or count,1.73,SAR,2024-08-18,https://aloqailat.com
Mint by linking,,kilo or count,1.73,SAR,2024-08-18,https://aloqailat.com
Red Red Red,,kilo or count,3.57,SAR,2024-08-18,https://aloqailat.com
Potatoes are small,,kilo or count,10,SAR,2024-08-18,https://aloqailat.com
Garm of Khasha,,kilo or count,4.57,SAR,2024-08-18,https://aloqailat.com
"White onions, gash",,kilo or count,13,SAR,2024-08-18,https://aloqailat.com
The onion of the mortal,,kilo or count,13,SAR,2024-08-18,https://aloqailat.com
Big live onions,,kilo or count,17,SAR,2024-08-18,https://aloqailat.com
Fish onions Jumbo,,kilo or count,23,SAR,2024-08-18,https://aloqailat.com
