Product Name,Official Price,Weight/Unit,Offer Price,Currency,Date,From
Imported Strawberry,17.95,250g,11.95,SAR,2024-08-19,http://www.carrefourksa.com
Selected Tomato,,500g,5.47,SAR,2024-08-19,http://www.carrefourksa.com
Potato,,750g,3.71,SAR,2024-08-19,http://www.carrefourksa.com
Grapes White Seedless,,500g,8.22,SAR,2024-08-19,http://www.carrefourksa.com
Lemon,,500g,2.98,SAR,2024-08-19,http://www.carrefourksa.com
Banana Sharbatly,,1KG,5.45,SAR,2024-08-19,http://www.carrefourksa.com
Iceberg Lettuce,,500g,5.47,SAR,2024-08-19,http://www.carrefourksa.com
Lettuce Romaine,,500g,2.98,SAR,2024-08-19,http://www.carrefourksa.com
Fresh Saudi Carrot,,500g,2.98,SAR,2024-08-19,http://www.carrefourksa.com
Potato Fresh,5.95,1KG,4.95,SAR,2024-08-19,http://www.carrefourksa.com
Navel Orange,5.95,1KG,4.95,SAR,2024-08-19,http://www.carrefourksa.com
Valencia Orange For Juice,,1KG,4.45,SAR,2024-08-19,http://www.carrefourksa.com
Tomato,,1KG,8.95,SAR,2024-08-19,http://www.carrefourksa.com
Green Apple (Granny Smith),10.95,1KG,7.95,SAR,2024-08-19,http://www.carrefourksa.com
Onion Red Medium Bag,,count,4.45,SAR,2024-08-19,http://www.carrefourksa.com
Red Apple Jumbo,5.47,500g,3.98,SAR,2024-08-19,http://www.carrefourksa.com
Cucumber,5.45,1KG,4.95,SAR,2024-08-19,http://www.carrefourksa.com
Royal Gala Apple,,1KG,7.95,SAR,2024-08-19,http://www.carrefourksa.com
Avocado Hass,,500g,9.97,SAR,2024-08-19,http://www.carrefourksa.com
Fresh Green Capsicum,,500g,3.98,SAR,2024-08-19,http://www.carrefourksa.com
Big Eggplant,,750g,3.71,SAR,2024-08-19,http://www.carrefourksa.com
Banana Delmonte,5.95,1KG,4.95,SAR,2024-08-19,http://www.carrefourksa.com
Local Tomato Box,,900g,9.95,SAR,2024-08-19,http://www.carrefourksa.com
Zucchini,,500g,3.98,SAR,2024-08-19,http://www.carrefourksa.com
