Product Name,Official Price,Weight/Unit,Offer Price,Currency,Date,From
"Peppers, Capsicum Mixed",,1 kg pack,12.50,SR,2024-08-19,https://www.sharbatly.club
"Lettuce, Lollo Bionda",,0.15 kg pack,9.95,SR,2024-08-19,https://www.sharbatly.club
"Peppers, Capsicum Orange",,1 kg pack,14.50,SR,2024-08-19,https://www.sharbatly.club
Plum dried puree,35.00,10X0.1 kg Doypack,31.50,SR,2024-08-19,https://www.sharbatly.club
Apples Ambrosia,,1 kg Pack,11.50,SR,2024-08-19,https://www.sharbatly.club
"Apples, Gold Rose",,1 kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
"Peanuts Peeled, Roasted, salted.",,0.25 kg pack,7.95,SR,2024-08-19,https://www.sharbatly.club
Apples Golden Delicious,9.95,1 kg Pack,6.95,SR,2024-08-19,https://www.sharbatly.club
"Apple, Royal Gala",,1 kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
"Jujubes Winter, Chinese red date",,0.5kg pack,29.95,SR,2024-08-19,https://www.sharbatly.club
"Coconut, Young, ready to drink, Single Piece",19.95,count,9.95,SR,2024-08-19,https://www.sharbatly.club
"Sewak Stick, Miswak Fresh",,"10 Sticks, Bunch",24.50,SR,2024-08-19,https://www.sharbatly.club
"Lettuce Mix, Hydroponic",9.95,0.125 kg pack,7.95,SR,2024-08-19,https://www.sharbatly.club
"Grapes, Red Globe",16.50,1 kg Pack,10.95,SR,2024-08-19,https://www.sharbatly.club
"Grapes, Red Seedless",,1 Kg pack,13.50,SR,2024-08-19,https://www.sharbatly.club
"Apples, Granny Smith",,1 kg Pack,9.95,SR,2024-08-19,https://www.sharbatly.club
Macadamia,,0.25 kg pack,32.50,SR,2024-08-19,https://www.sharbatly.club
"Apples, Pink Lady",,1 kg pack,11.50,SR,2024-08-19,https://www.sharbatly.club
"Pine Nuts, All-natural",,0.1 Kg Pack,29.95,SR,2024-08-19,https://www.sharbatly.club
"Pecans, All-natural ",,0.25 kg Pack,26.50,SR,2024-08-19,https://www.sharbatly.club
"Hazelnuts, All-natural",,0.25 kg Pack,14.95,SR,2024-08-19,https://www.sharbatly.club
"Almonds, All-natural",,0.25 kg Pack,12.50,SR,2024-08-19,https://www.sharbatly.club
"Cashews, NOT roasted, row, All-natural",,0.25 kg pack,22.50,SR,2024-08-19,https://www.sharbatly.club
"Pistachio, All-natural",,0.25 kg pack,16.50,SR,2024-08-19,https://www.sharbatly.club
"Cashews, with peel, Grilled",,0.5 kg pack,28.00,SR,2024-08-19,https://www.sharbatly.club
